Tweets,Sentimental Analysis
bYA GIRL GOT STABBEDnnCOVIDvaccine JohnsonAndJohnsonVaccine httpstcoOpNcmqOd,Neutral
bEveryone should read this COVID HerdImmunity COVIDvaccine nhttpstcoyWYQvYlxWu,Neutral
bGot my dose johnsonandjohnson COVIDvaccine today Cried with relief when I got it ThankyouMrPresident JoeBiden,Positive 
bThis morning we trained medical and physician students how to give COVIDvaccine and this afternoon my daughter gotxexxa httpstcoCZsdiHkEQ,Positive 
bHypocrisy of all hypocrisies  facebook censors Mark Zuckerberg nnZuck got Zucked nnxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxncovidvaccinexexxa httpstcoWpTMRxyxf,Neutral
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoYSkOMZP,Neutral
bThe business of savings lives doesnxexxt stop on holiday weekends xfxfxxxfxfxxxfxfxxBetterDaysAreComing BetterdaysAreHerexexxa httpstcoIIpBLxqamn,Neutral
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnChiconClovisnFresnonMaderanPalm SpringsnPortervixexxa httpstcotNYrlhXc,Positive 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBellflowernBeverly HillsnChatsworthnCypressnFresnonGlendalenIxexxa httpstcolyavWg,Positive 
bGOVERNING Californians aged  years and older are now eligible to receive the CovidVaccine and in two weeks thxexxa httpstcoiVnGitgNk,Positive 
bTook a break during our COVID vaccine clinic and looked out the window to see my recently vaccinated patient gettinxexxa httpstcoGDmqoxMI,Neutral
bCalifornians aged  years and older are now eligible to receive the CovidVaccine and in two weeks the eligibilitxexxa httpstcoEsMnnfAseY,Negative
bThose who dont know history are doomed to repeat it Edmund Burke nnwwiihistory neverforgetxexxa httpstcoFCWfQDmkvR,Negative
bClinical Trial Evaluating COVID Variant Vaccine BeginsnhttpstcotWdMqZwfnclinicaltrials  COVIDvaccinexexxa httpstcobInIlmGBl,Neutral
bGot my first dose of the COVIDvaccine today xfxfxx One step closer to ending this pandemic VaccinesSaveLives,Positive 
bHappy Easter Semana Santa to friends amp followersnnToday WestGateTunnelProject Planning AirQuality COVIDVicxexxa httpstcooxXyXRVjy,Neutral
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoVnFDpZzFk,Neutral
bThere are some people who will without question benefit from the covidvaccine httpstcoRvRNSeeeK,Positive 
bI had a migraine every day after my first covid shot on St Patricks day I got Maderna I get my next one April xexxa httpstcoCDysEGL,Negative
bStay vigilant folks nCovidVaccine httpstcoRpEPSngJ,Neutral
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoOrWbVKfjj,Neutral
bMy Saturday night icing my covid vaccine injection site while simultaneously applying a heating pad to my postsurxexxa httpstcovJDbxTLM,Negative
bWell I definitely feel like my immune system has engaged Ramxcxbn just felt my forehead he said Ixexxm extremely warmxexxa httpstcognPcdmMqb,Positive 
bAgree with the need to fight COVIDSecondWave with COVIDvaccine xfxfxx pfizer moderna_tx AstraZeneca GetVaccinatedxexxa httpstcoLVvOpALt,Negative 
bst dose vaccine progress nnxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexx  of USnnnd dose vaccine progress nnxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexx  of Uxexxa httpstcoSAASMGwa,Neutral
